21:44:41 | INFO     | OrderManager    | Order #47: BUY 10 AAPL @ 100
21:44:41 | INFO     | OrderManager    | Order #48: BUY 10 AAPL @ 100
21:44:44 | INFO     | OrderManager    | Order #49: BUY 10 AAPL @ 100
21:44:44 | INFO     | OrderManager    | Order #50: BUY 10 AAPL @ 100
21:44:44 | INFO     | OrderManager    | Order #51: BUY 10 AAPL @ 100
21:44:47 | INFO     | OrderManager    | Order #52: BUY 10 AAPL @ 100
21:44:47 | INFO     | OrderManager    | Order #53: BUY 10 AAPL @ 100
21:44:47 | INFO     | OrderManager    | Order #54: BUY 10 AAPL @ 100
21:44:50 | INFO     | OrderManager    | Order #55: BUY 10 AAPL @ 100
21:44:50 | INFO     | OrderManager    | Order #56: BUY 10 AAPL @ 100
21:44:50 | INFO     | OrderManager    | Order #57: BUY 10 AAPL @ 100
21:44:53 | INFO     | OrderManager    | Order #58: BUY 10 AAPL @ 100
21:44:53 | INFO     | OrderManager    | Order #59: BUY 10 AAPL @ 100
21:44:53 | INFO     | OrderManager    | Order #60: BUY 10 AAPL @ 100
21:44:56 | INFO     | OrderManager    | Order #61: BUY 10 AAPL @ 100
21:44:56 | INFO     | OrderManager    | Order #62: BUY 10 AAPL @ 100
21:44:56 | INFO     | OrderManager    | Order #63: BUY 10 AAPL @ 100
21:44:59 | INFO     | OrderManager    | Order #64: BUY 10 AAPL @ 100
21:44:59 | INFO     | OrderManager    | Order #65: BUY 10 AAPL @ 100
21:44:59 | INFO     | OrderManager    | Order #66: BUY 10 AAPL @ 100
21:45:02 | INFO     | OrderManager    | Order #67: BUY 10 AAPL @ 100
21:45:02 | INFO     | OrderManager    | Order #68: BUY 10 AAPL @ 100
21:45:02 | INFO     | OrderManager    | Order #69: BUY 10 AAPL @ 100
21:45:05 | INFO     | OrderManager    | Order #70: BUY 10 AAPL @ 100
21:45:05 | INFO     | OrderManager    | Order #71: BUY 10 AAPL @ 100
21:45:05 | INFO     | OrderManager    | Order #72: BUY 10 AAPL @ 100
21:45:08 | INFO     | OrderManager    | Order #73: BUY 10 AAPL @ 100
21:45:08 | INFO     | OrderManager    | Order #74: BUY 10 AAPL @ 100
21:45:08 | INFO     | OrderManager    | Order #75: BUY 10 AAPL @ 100
21:45:11 | INFO     | OrderManager    | Order #76: BUY 10 AAPL @ 100
21:45:11 | INFO     | OrderManager    | Order #77: BUY 10 AAPL @ 100
21:45:11 | INFO     | OrderManager    | Order #78: BUY 10 AAPL @ 100
21:45:14 | INFO     | OrderManager    | Order #79: BUY 10 AAPL @ 100
21:45:14 | INFO     | OrderManager    | Order #80: BUY 10 AAPL @ 100
21:45:14 | INFO     | OrderManager    | Order #81: BUY 10 AAPL @ 100
21:45:17 | INFO     | OrderManager    | Order #82: BUY 10 AAPL @ 100
21:45:17 | INFO     | OrderManager    | Order #83: BUY 10 AAPL @ 100
21:45:17 | INFO     | OrderManager    | Order #84: BUY 10 AAPL @ 100
21:45:20 | INFO     | OrderManager    | Order #85: BUY 10 AAPL @ 100
21:45:20 | INFO     | OrderManager    | Order #86: BUY 10 AAPL @ 100
21:45:20 | INFO     | OrderManager    | Order #87: BUY 10 AAPL @ 100
21:45:23 | INFO     | OrderManager    | Order #88: BUY 10 AAPL @ 100
21:45:23 | INFO     | OrderManager    | Order #89: BUY 10 AAPL @ 100
21:45:23 | INFO     | OrderManager    | Order #90: BUY 10 AAPL @ 100
21:45:26 | INFO     | OrderManager    | Order #91: BUY 10 AAPL @ 100
21:45:26 | INFO     | OrderManager    | Order #92: BUY 10 AAPL @ 100
21:45:26 | INFO     | OrderManager    | Order #93: BUY 10 AAPL @ 100
21:45:29 | INFO     | OrderManager    | Order #94: BUY 10 AAPL @ 100
21:45:29 | INFO     | OrderManager    | Order #95: BUY 10 AAPL @ 100
